Título;Sala;Fecha;Hora;Más información;Programa;Precio;Imagen
OCNE. Sinfónico 2;Sala Sinfónica;2024-10-06;11:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-2-1;"Orquesta y Coro Nacionales de España Pablo González, director Emmanuel Pahud, flauta Olesya Petrova, mezzosoprano Alexander Vinogradov, barítono Jose Coronado , narrador
T?ru Takemitsu I Hear the Water Dreaming, para flauta y orquesta Cécile Chaminade Concertino para flauta en Re mayor, op. 107 Serguéi Prokófiev Iván el Terrible, op. 116";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-2-1/@@images/5842c8a0-51dc-47e0-bcd3-cecfef7ad162.jpeg
OCNE. Satélite 03. De Viena a París;Sala de Cámara;2024-10-08;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/ocnesatelite-03-de-viena-a-paris;"Ensemble Dumont Laura Salcedo Violín Lorena Otero Viola Josep Trescolí Violonchelo Luis Navidad Contrabajo Sebastián Mariné Piano
Johann Nepomuk Hummel Quinteto con piano en Mi bemol mayor, op. 87 Louise Farrenc Quinteto con piano núm. 1 en La menor, op. 30";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocnesatelite-03-de-viena-a-paris/@@images/339f9eae-c6e5-4ea5-b327-1da5d9bbdb36.jpeg
La Filarmónica. Quinta de Shostakovich;Sala Sinfónica;2024-10-08;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-1;"musicAeterna Teodor Currentzis, director G. Verdi La fuerza del destino. Obertura
P. Tchaikovsky Variaciones sobre un tema rococó, op. 33 para violonchelo y orquesta (Solista Miriam Prandi) D. Shostakovich Sinfonía núm. 5 en re menor, Op. 47";148, 122, 88, 78, 68, 58, 47 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-1/@@images/628f0d0d-08b4-41ae-a413-3e95f054401b.jpeg
Orfeón Complutense. Requiem de Mozart;Sala Sinfónica;2024-10-09;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/orfeon-complutense-requiem-de-mozart;"Orfeón Complutense Coral Maestro Barbieri Orquesta Ciudad de Alcalá Idoris Duarte, soprano Laura Ortiz, mezzosoprano Karim Farhan, tenor Fernando Rubio, bajo
Vicente Ariño Pellicer, dirección musical
Programa Wolfgang Amadeus MOZART (1756 – 1791) Tantum Ergo, KV 197 Laudate Dominum (Vesperæ Solennes de Confessore, KV 339) Ave Verum Corpus, KV 618 Requiem en re menor, KV 626";30, 28, 24, 20, 16 y 12 €;https://www.auditorionacional.mcu.es/es/programacion/orfeon-complutense-requiem-de-mozart/@@images/dd531c81-292b-4d05-8ae6-a0e464b76b13.jpeg
Excelentia. Ecos de Latinoamérica & West Side Story;Sala Sinfónica;2024-10-10;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-ecos-de-latinoamerica-west-side-story;"
Orquesta Clásica Santa Cecilia Andrés González, Director Pacho Flores, Trompeta
Márquez La conga del fuego
Ginastera Estancia, “Malambo”
Márquez Concierto de otoño
Bernstein West Side Story, suite
Sarasate Aires gitanos P. Flores
Morocota Labios Vermelhos";78, 74, 72, 68, 56, 52, 48, 46 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-ecos-de-latinoamerica-west-side-story/@@images/c3519802-57e7-4a97-9e0e-73a4193fdb60.jpeg
OCNE. Sinfónico 3;Sala Sinfónica;2024-10-11;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1;"Orquesta y Coro Nacionales de España Andrés Orozco-Estrada Director Sonja Leutwyler Mezzosoprano
Julian Hubbard Tenor
Hanno MüllerBrachmann Bajo-barítono Felix Mendelssohn La primera noche de Walpurgis, op. 60 Hector Berlioz Sinfonía fantástica, op. 14";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1/@@images/80e4fa9f-262c-447c-af28-1d34c88f35e7.jpeg
CNDM. Cuarteto Belcea & Tabea Zimmermann;Sala de Cámara;2024-10-11;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-cuarteto-belcea-tabea-zimmermann;Cuarteto Belcea, integrado por: Corina Belcea, violín Suyeon Kang, violín Krzysztof Chorzelski, viola Antoine Lederlin, violonchelo Tabea Zimmermann, viola Wolfgang Amadeus Mozart (1756-1791) Quinteto de cuerda n.º 2 en do menor, K 406 (1787-1788) Quinteto de cuerda n.º 3 en do mayor, K 515 (1787);28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-cuarteto-belcea-tabea-zimmermann/@@images/f4e8a150-872c-4505-8fd8-265cb998ac8d.jpeg
Film Symphony Orchestra. Tarab: La Gira;Sala Sinfónica;2024-10-11;22:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-film-symphony-orchestra-tarab-la-gira;"Film Symphony Orchestra Constantino Martínez-Orts, director
TARAB: LA GIRA Bandas sonoras de Dune, Origen, Oppenheimer, Troya, La sirenita, Gravity, Frozen, El regreso de la momia, The Martian, Star Wars: el ascenso de Skywalker y Animales fantásticos, entre otras";62, 57, 52, 47, 43, 37 y 29 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-film-symphony-orchestra-tarab-la-gira/@@images/421222d2-997d-4295-9b61-e30cd594c790.jpeg
OCNE. Sinfónico 3;Sala Sinfónica;2024-10-12;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1;"Orquesta y Coro Nacionales de España Andrés Orozco-Estrada Director Sonja Leutwyler Mezzosoprano
Julian Hubbard Tenor
Hanno MüllerBrachmann Bajo-barítono Felix Mendelssohn La primera noche de Walpurgis, op. 60 Hector Berlioz Sinfonía fantástica, op. 14";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1/@@images/80e4fa9f-262c-447c-af28-1d34c88f35e7.jpeg
Excelentia. Gala Española;Sala de Cámara;2024-10-12;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-gala-espanola;"""Gala Española""
Orquesta Clásica Santa Cecilia Ruth Terán, soprano Miguel Borrallo, tenor Jose Luis López Antón, director
Selección de fragmentos de zarzuelas";65 y 58 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-gala-espanola/@@images/c98cf946-665c-4925-8419-4c93ea05a170.jpeg
Film Symphony Orchestra. Tarab: La Gira;Sala Sinfónica;2024-10-12;22:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-film-symphony-orchestra-tarab-la-gira;"Film Symphony Orchestra Constantino Martínez-Orts, director
TARAB: LA GIRA Bandas sonoras de Dune, Origen, Oppenheimer, Troya, La sirenita, Gravity, Frozen, El regreso de la momia, The Martian, Star Wars: el ascenso de Skywalker y Animales fantásticos, entre otras";62, 57, 52, 47, 43, 37 y 29 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-film-symphony-orchestra-tarab-la-gira/@@images/421222d2-997d-4295-9b61-e30cd594c790.jpeg
OCNE. Sinfónico 3;Sala Sinfónica;2024-10-13;11:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1;"Orquesta y Coro Nacionales de España Andrés Orozco-Estrada Director Sonja Leutwyler Mezzosoprano
Julian Hubbard Tenor
Hanno MüllerBrachmann Bajo-barítono Felix Mendelssohn La primera noche de Walpurgis, op. 60 Hector Berlioz Sinfonía fantástica, op. 14";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-3-1/@@images/80e4fa9f-262c-447c-af28-1d34c88f35e7.jpeg
ORCAM. Sinfónico II. Pura Expresión;Sala Sinfónica;2024-10-14;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-sinfonico-ii-pura-expresion;Orquesta de la Comunidad de Madrid Alondra de la Parra, DIRECTORA Johannes Brahms Sinfonía nº3 en fa mayor, op. 90 Antonín Dvo?ák Sinfonía n°7 en re menor, op. 70;36, 28, 23 y 15 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-sinfonico-ii-pura-expresion/@@images/b6ee0520-9264-4a3a-8561-b0e5d4d2c109.jpeg
Singerhood. 1000 Cantando por la Depresión;Sala Sinfónica;2024-10-15;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/singerhood-1000-cantando-por-la-depresion;"Coro La Voz del Paciente Coro Singerhood Orfeón Murciano Fernández Caballero Coro Participativo Orquesta Jóvenes Ciudad de Murcia Banda de Rock La Voz del Paciente Marcos Castán (Director Musical del Proyecto y Director del Coro LVDP) Raúl López Sánchez (Director Orquesta Ciudad de Murcia) Nena Daconte, artista invitada José Manuel Zapata, presentador Programa
Beati quorum via Charles Villiers Stanford Selección de coros de Carmina Burana Carl Orff Detrás de cada luz Nena Daconte Se va Nena Daconte Bienvenidos Miguel Ríos Love Me Do Lennon - McCartney I Want To Break Free John Deacon - Queen Déjame Los Secretos Me cuesta tanto olvidarte José María Cano - Mecano Enamorado de la moda juvenil Radio Futura Mix: En qué estrella estará / Tenía tanto que darte Nena Daconte";No disponible;https://www.auditorionacional.mcu.es/es/programacion/singerhood-1000-cantando-por-la-depresion/@@images/f38affba-4721-4ba2-9ada-0e3547c926a7.jpeg
Fundación Scherzo. Ivo Pogorelich;Sala Sinfónica;2024-10-16;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-ivo-pogorelich-3;"Ivo Pogorelich, piano
Programa por determinar";62, 50, 35 y 26 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-ivo-pogorelich-3/@@images/738e1942-2621-49f7-8d19-3de179218159.jpeg
Filarmonía de Madrid. Mahler: Sinfonía nº 2;Sala Sinfónica;2024-10-17;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-mahler-sinfonia-no-2;"CONCIERTO CON MOTIVO DEL 75º ANIVERSARIO DE LA FUNDACIÓN DE LA REPÚBLICA POPULAR CHINA Orquesta y Coro Filarmonía Participativos Filarmonía Xi hu, Mezzosoprano Youlan Lin, Piano Guiomar Cantó, soprano Rosanna Cooper, mezzo Rafael Albiñana, director del Coro Pascual Osa, director musical
I PARTE Concierto para piano ‘El Río Amarillo’ Mòlìhu? (Flor de Jazmín) II PARTE Mahler: Sinfonía nº 2, 'Resurrección'";56, 49, 41, 32 y 28 €;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-mahler-sinfonia-no-2/@@images/5698f01c-1f0c-4a7a-86af-2ce86d036a7e.png
OCNE. Sinfónico 4;Sala Sinfónica;2024-10-18;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1;"
Orquesta Nacional de España Joana Mallwitz Directora Francesco Piemontesi Piano
Serguéi Prokófiev Obertura de Guerra y paz, op. 91 Ludwig van Beethoven Concierto para piano y orquesta núm. 5, en Mi bemol mayor, op. 73, «Emperador» Paul Hindemith Sinfonía Matías el pintor Maurice Ravel La Valse";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1/@@images/5a0a9f89-6946-4403-9043-b9a97083e4ac.jpeg
OCNE. Sinfónico 4;Sala Sinfónica;2024-10-19;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1;"
Orquesta Nacional de España Joana Mallwitz Directora Francesco Piemontesi Piano
Serguéi Prokófiev Obertura de Guerra y paz, op. 91 Ludwig van Beethoven Concierto para piano y orquesta núm. 5, en Mi bemol mayor, op. 73, «Emperador» Paul Hindemith Sinfonía Matías el pintor Maurice Ravel La Valse";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1/@@images/5a0a9f89-6946-4403-9043-b9a97083e4ac.jpeg
Excelentia. Bach: Conciertos de Brandeburgo (I);Sala de Cámara;2024-10-19;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-conciertos-de-brandeburgo-i;"Orquesta Clásica Santa Cecilia

J. S. Bach Suite orquestal núm 1 en do mayor, BWV 1066
Concierto de Brandeburgo No. 1 en fa mayor, BWV 1046
Concierto de Brandeburgo No. 2 en fa mayor, BWV 1047
Concierto de Brandeburgo No. 4 en sol mayor, BWV 1049";77 y 65 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-conciertos-de-brandeburgo-i/@@images/fad65962-f059-44a7-aae0-9b1cf48f1927.jpeg
UPM. Concierto Apertura de Curso;Sala Sinfónica;2024-10-19;22:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/upm-concierto-apertura-de-curso;"ORQUESTRA UNIVERSITAT DE LES ILLES BALEARS Director: Xisco Amengual Violín: Pep Amengual
G. Puccini Preludio Sinfónico, sc32 P. I. Tchaikovsky Concierto para violín y orquesta en Re mayor, op. 35 Obertura 1812, op. 49";35, 29, 21 y  9'50 €;https://www.auditorionacional.mcu.es/es/programacion/upm-concierto-apertura-de-curso/@@images/5653092f-eccb-40ff-8ea9-a0b0fcb237f7.jpeg
OCNE. Sinfónico 4;Sala Sinfónica;2024-10-20;11:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1;"
Orquesta Nacional de España Joana Mallwitz Directora Francesco Piemontesi Piano
Serguéi Prokófiev Obertura de Guerra y paz, op. 91 Ludwig van Beethoven Concierto para piano y orquesta núm. 5, en Mi bemol mayor, op. 73, «Emperador» Paul Hindemith Sinfonía Matías el pintor Maurice Ravel La Valse";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-4-1/@@images/5a0a9f89-6946-4403-9043-b9a97083e4ac.jpeg
Excelentia. 100 años de Cine;Sala de Cámara;2024-10-20;12:00:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-100-anos-de-cine;Royal Film Concert Orchestra Fernando Furones, director Lo que el viento se llevó Lawrence of Arabia Memorias de África Las normas de la casa de la sidra Casablanca Titanic Psicosis El padrino La vida es bella Cinema Paradiso La misión Braveheart Leyendas de pasión Pearl Harbor Star Wars: Across the stars Conan el bárbaro The ecstasy of gold;65 y 58 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-100-anos-de-cine/@@images/17292a76-ee6a-47d8-88fc-e8f9c07fc820.jpeg
Fundación Scherzo. Maksim Venguérov & Franz Schubert Filharmonia;Sala Sinfónica;2024-10-21;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-maksim-venguerov-franz-schubert-filharmonia;Maksim Venguérov, violín Franz Schubert Filharmonia W. A. MOZART Concierto para violín y orquesta nº 1, KV 207 Concierto para violín y orquesta nº 3, KV 216 J. BRAHMS Sinfonía nº 1, op. 68;62, 50, 35 y 26 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-maksim-venguerov-franz-schubert-filharmonia/@@images/879bab63-b332-4dad-b31a-a0b5285daaea.jpeg
OCNE. Satélite 04.  La Evolución del Cuarteto de Cuerda de Felix Mendelssohn;Sala de Cámara;2024-10-22;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-04-la-evolucion-del-cuarteto-de-cuerda-de-felix-mendelssohn;"Cuarteto Kairós Ane Matxain Pablo Martín Violínes Joaquín Arias Viola Fernando Arias Violonchelo

Felix Mendelssohn Cuarteto de cuerda núm. 1 en Mi bemol mayor, op. 12 Cuatro piezas para cuarteto de cuerda, op. 81 (selección) Cuarteto de cuerda núm. 6 en Fa menor, op. 80";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-04-la-evolucion-del-cuarteto-de-cuerda-de-felix-mendelssohn/@@images/9dd34cb2-5877-4456-929e-fba3adee6d22.jpeg
Orquesta Sinfónica de Madrid. Pinchas Steinberg;Sala Sinfónica;2024-10-23;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/orquesta-sinfonica-de-madrid-13;Orquesta Sinfónica de Madrid Pinchas Steinberg DIRECTOR Jonathan Mamora, piano Sergei Rachmaninov Concierto para piano Nº 3 en Re menor, Op. 30 Richard Strauss Aus Italien Op. 16;45, 30, 18 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/orquesta-sinfonica-de-madrid-13/@@images/3df2585e-a3a9-4aef-bff7-c4458c35c85c.jpeg
Ibermúsica. Ángel García Jermann y Oleksandra Totkalova;Sala de Cámara;2024-10-23;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-angel-garcia-jermann-y-oleksandra-totkalova;"Ángel García Jermann, violonchelo
Oleksandra Totkalova, piano";No disponible;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-angel-garcia-jermann-y-oleksandra-totkalova/@@images/2e25459f-fe71-4600-b3ee-3139a65f30db.jpeg
Embajada de Kazajstán;Sala de Cámara;2024-10-24;19:00:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/embajada-de-kazajstan;Conjunto folclórico «Astana Sazy» Grupo vocal «Yassavi»;No disponible;https://www.auditorionacional.mcu.es/es/programacion/embajada-de-kazajstan/@@images/3d377364-a45a-425a-bf38-6db967d05835.jpeg
Impacta. Dido y Eneas;Sala Sinfónica;2024-10-24;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/impacta-dido-y-eneas;Orquesta y Coro de la Ópera Real de Versalles Sonya Yoncheva, soprano Ana Vieira Leite, soprano Halidou Nombre, barítono Attila Varga-Toth, tenor Pauline Gaillard, soprano Flore Royer, mezzo-soprano Arnaud Gluck, contratenor Lili Aymonino, soprano Stefan Plewniak, director Henry Purcell Dido y Eneas;75, 55, 40, 30 y 25 €;https://www.auditorionacional.mcu.es/es/programacion/impacta-dido-y-eneas/@@images/aaa9ffa9-86be-492f-9059-80ca376ebd84.jpeg
OCNE. Sinfónico 5;Sala Sinfónica;2024-10-25;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1;"
Orquesta Nacional de España Jörg Widmann Director y solista
Carl Maria von Weber Quinteto para clarinete en Si bemol mayor, op. 34 (versión para clarinete y orquesta de cuerda) Jörg Widmann Danza macabra* Ludwig van Beethoven Sinfonía núm. 7 en La mayor, op. 92 * Estreno en España. Obra encargo de la Orquesta y Coro Nacionales de España, BBC Radio3, Orchestre Philharmonique de Radio France, Taiwan Philharmonic (National Symphonic Orchestra), Royal Stockholm Philharmonic Orchestra y NDR Radiophilharmonie Hannover.";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1/@@images/be913a8a-45d0-4a43-911e-66da05913dee.jpeg
CNDM. Chano Domínguez;Sala de Cámara;2024-10-25;20:00:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-chano-dominguez;Chano Domínguez, piano;36, 27 y 18 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-chano-dominguez/@@images/4b01191d-08f4-46d7-bb1b-95b1136cb916.jpeg
OCNE. Sinfónico 5;Sala Sinfónica;2024-10-26;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1;"
Orquesta Nacional de España Jörg Widmann Director y solista
Carl Maria von Weber Quinteto para clarinete en Si bemol mayor, op. 34 (versión para clarinete y orquesta de cuerda) Jörg Widmann Danza macabra* Ludwig van Beethoven Sinfonía núm. 7 en La mayor, op. 92 * Estreno en España. Obra encargo de la Orquesta y Coro Nacionales de España, BBC Radio3, Orchestre Philharmonique de Radio France, Taiwan Philharmonic (National Symphonic Orchestra), Royal Stockholm Philharmonic Orchestra y NDR Radiophilharmonie Hannover.";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1/@@images/be913a8a-45d0-4a43-911e-66da05913dee.jpeg
UAM. Mongibello Island;Sala de Cámara;2024-10-26;19:30:00+02:00;https://www.auditorionacional.mcu.es/es/programacion/uam-mongibello-island;"André JahJah Jazz Trio André JahJah, piano Pablo Carretero, bajo Jorge Santana, batería ""Mongibello Island"" (AMP Music & Records, 2023)";40, 30 y 25 €;https://www.auditorionacional.mcu.es/es/programacion/uam-mongibello-island/@@images/6c35d531-6cbf-4e89-bb84-2c30495bcc45.jpeg
OCNE. Sinfónico 5;Sala Sinfónica;2024-10-27;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1;"
Orquesta Nacional de España Jörg Widmann Director y solista
Carl Maria von Weber Quinteto para clarinete en Si bemol mayor, op. 34 (versión para clarinete y orquesta de cuerda) Jörg Widmann Danza macabra* Ludwig van Beethoven Sinfonía núm. 7 en La mayor, op. 92 * Estreno en España. Obra encargo de la Orquesta y Coro Nacionales de España, BBC Radio3, Orchestre Philharmonique de Radio France, Taiwan Philharmonic (National Symphonic Orchestra), Royal Stockholm Philharmonic Orchestra y NDR Radiophilharmonie Hannover.";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-5-1/@@images/be913a8a-45d0-4a43-911e-66da05913dee.jpeg
Orquesta Camerata Musicalis. Mucho Más que un Concierto. Mozart;Sala de Cámara;2024-10-27;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orquesta-camerata-musicalis-mucho-mas-que-un-concierto-mozart;Orquesta Camerata Musicalis Edgar Martín Jiménez, director MOZART La Gran Partita;37’50,  29’50,  23’50 y  18’50 €;https://www.auditorionacional.mcu.es/es/programacion/orquesta-camerata-musicalis-mucho-mas-que-un-concierto-mozart/@@images/563ac0fa-8e37-4a6c-8ffe-0506bb57e0d1.jpeg
ORCAM. Tiempo de Cámara I. El Alma de los Vientos;Sala de Cámara;2024-10-27;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-el-alma-de-los-vientos;"
Conjunto Instrumental y Coro de la Comunidad de Madrid Josep Vila i Casañas, DIRECTOR Igor Stravinsky Misa Anton Bruckner Misa nº2 en mi menor";15 y 12 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-el-alma-de-los-vientos/@@images/a651b902-5deb-4ab0-a4ce-6cc6650bf47b.jpeg
OCNE. Satélite 05. Aquelarre;Sala de Cámara;2024-10-29;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-05-aquelarre;"Feminalia Delia Agúndez Irene Badiola Ariadna Martínez Patricia González Arroyo Sopranos Vanessa García María Morellà Mezzosopranos Marta Caamaño Contralto Rafael Gálvez Percusión Jesús Campo Piano
Giuseppe Verdi: Tre volte miagola la gatta in fregola (coro de brujas de Macbeth) Philip Paul Bliss: Fays of the floating islands (cantata); Eva Ugalde*: Obra de encargo (estreno absoluto) Agnes Zimmermann: Fairy song Nathaniel Clifford Page: Alice in wonderland (balada coral) Felix Mendelssohn: Hexenlied
*Estreno absoluto. Obra encargo de la Orquesta y Coro Nacionales de España";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-05-aquelarre/@@images/4202b0d6-df9c-4192-9c1f-a6be860fdf81.jpeg
Ibermúsica. Tonhalle-Orchester Zürich;Sala Sinfónica;2024-10-29;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-3;Tonhalle-Orchester Zürich Paavo Järvi, dirección Lisa Batiashvili, violín Mozart Don Giovanni, obertura Prokófiev Concierto para violín núm. 2 Shostakóvich Sinfonía núm. 6;157, 124, 108, 93, 63, 55 y 35 €;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-3/@@images/d88d626f-1509-4700-8678-242264aa0fc4.jpeg
Ibermúsica. Tonhalle-Orchester Zürich;Sala Sinfónica;2024-10-30;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-4;"Tonhalle-Orchester Zürich Paavo Järvi, dirección
G. Mahler Sinfonía núm. 7";157, 124, 108, 93, 63, 55 y 35 €;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-4/@@images/5a164737-6941-49a1-bd70-1429fdb6b8ce.jpeg
Excelentia. Réquiem de Mozart & Sinfonía con órgano;Sala Sinfónica;2024-10-31;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-requiem-de-mozart-sinfonia-con-organo;"Sociedad Coral Excelentia de Madrid
Orquesta Clásica Santa Cecilia
Kynan Johns, director
Daniel Oyarzabal, órgano
Ekaterina Sadovnikova, soprano
Martina Mikelic, mezzo
Víctor Sordo, tenor
David Cervera, bajo
Reznicek Donna Diana, obertura
Saint-Saëns Sinfonía núm. 3 ‘con órgano’
Mozart Réquiem, K. 626";86, 82, 78, 72, 64, 60, 58 y 48 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-requiem-de-mozart-sinfonia-con-organo/@@images/c06534c7-9601-4726-bd9f-bc426d0a2f2b.jpeg
Film Symphony Orchestra. Dracul, la Mejor Música de Terror en Concierto;Sala Sinfónica;2024-11-01;18:00:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-dracul-la-mejor-musica-de-terror-en-concierto;"
Film Symphony Orchestra Constantino Martínez-Orts, director
Bandas sonoras de Drácula, Psicosis, Tiburón, Pesadilla antes de Navidad, Alien, Frankenstein, Poltergeist, Señales, La profecía, Coco, Casper, La familia Addams, Gremlins, Las brujas de Eastwick...";62, 57, 52, 47, 43 y 37 €;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-dracul-la-mejor-musica-de-terror-en-concierto/@@images/269bcce5-302a-443b-b5ea-d838d611c879.jpeg
