título;sala;fecha;hora;más información;programa;precio;imagen;procedencia;función;categoría;link de compra;ciclo;sub-ciclo;descripción;ubicación
Fundación Scherzo. Gli Incogniti & Amandine Beyer;Sala de Cámara;2024-11-18;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-gli-incogniti-amandine-beyer;"
Gli Incogniti & Amandine Beyer, violín PROGRAMA In memoriam Javier Rodríguez-Miñón Falero
J. S. BACH (1685-1750) Concierto para dos violines en re menor BWV 1043 Concierto para clave y orquesta en fa menor BWV 1056 Concierto de Brandemburgo nº 3 en sol mayor BWV 1048 Concierto de Brandemburgo nº 6 en si mayor BWV 1051 Concierto para tres violines en re mayor BWV 1064R";25 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-gli-incogniti-amandine-beyer/@@images/0b3f68ad-2167-459b-bacb-ba39eb7f983d.png;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Homenaje a Paco de Lucía;Sala de Cámara;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2;Alejandro Hurtado, guitarra Andrés Barrios, piano Palmeros Guitarra: Callejón del Muro (Minera) – Paco de Lucía Tamiz (Alegrías) – Alejandro Hurtado La liviana (Seguiriya) – Alejandro Hurtado Rondeña – Ramón Montoya Tangos – Ramón Montoya Río de la Miel (Bulería) – Paco de Lucía Gran Jota de Concierto – Francisco Tárrega Danza del Molinero – Manuel de Falla Ímpetu – Mario Escudero Piano: Taranta – Paco de Lucía / Andrés Barrios Bulerías – Andrés Barrios / Paco de Lucía Anda Jaleo – Paco de Lucía / Andrés Barrios Soleá – Paco de Lucía / Andrés Barrios La Tarara – Paco de Lucía / Andrés Barrios El Vito – Andrés Barrios / Paco de Lucía;65 y 58 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2/@@images/fede81ad-8127-40f1-8e19-2f1bc444c8f9.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Coronación Mozart & Pastoral de Beethoven;Sala Sinfónica;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven;"Sociedad Coral Excelentia de Madrid
Orquesta Clásica Santa Cecilia
Juan Pablo Valencia, director
Letitia Vitelaru, soprano
Beatriz Oleaga, mezzo
Víctor Sordo, tenor
Ihor Voievodin, bajo
Mozart Regina Coeli, K. 108 Exsultate Jubilate, K. 165 Misa de la Coronación, K. 317
Beethoven Sinfonía núm. 6 en Fa Mayor ‘Pastoral’ op. 68
";78, 74, 72, 68, 56, 52, 48 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven/@@images/c14c0641-69b4-4514-9190-70eeafec9492.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OJEM. G. Mahler, Sinfonía nº2 “Resurrección”;Sala Sinfónica;2024-11-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d;Orquesta Juvenil Europea de Madrid Coro Sinfónico OJEM Celia Alcedo, soprano Katerina Antipova, mezzosoprano Dirección: Adriana Tanus G. Mahler Sinfonía nº2 “Resurrección” (Edición Stark-Voit y Gilbert Kaplan);25, 23, 18, 15, 12 y 9 €;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d/@@images/07ef3ef0-d70f-4d8d-94bf-3627db0649ee.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Conservatorio Profesional de Música Arturo Soria. Entrega de Premios 2023-2024;Sala de Cámara;2024-11-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/conservatorio-profesional-de-musica-arturo-soria-entrega-de-premios-2023-2024;ACTO DE ENTREGA DE DIPLOMAS CONCIERTO DE ALUMNOS PREMIADOS PREMIO FIN DE GRADO, GUITARRA Antonio Carlos Jobim (1927-1994), Roland Dyens (arreglista) (1955-2016). Felicidade Lidia Rubio Español Profesora: María Luisa Benito Serrano PREMIO CONCURSO DE MÚSICA DE CÁMARA Waldemar von Baussnern (1866-1931) ‘SERENADE Para Violín, Clarinete Y Piano IV. Mit Grazie und Humor Navarro Quiles, Alejandro (Violín) Felipe Torres, Sofía (Clarinete) Zoya Ferrer, Álvaro (Piano) Profesor: Alberto Urroz Jaurrieta PREMIO FIN DE GRADO, VIOLÍN Pablo Sarasate y Navascués (1844-1908) Aires Gitanos Op. 20 Sofía Maravella Todorova Profesora repertorista: Coral Quevedo Profesor: Emilio Maravella Ruiz PREMIO FIN DE GRADO, PIANO Francis Poulenc (1899-1963) Intermezzo nº 3 en La b M Mariana Tomás Alonso Profesora: Helena Poveda Lacárcel PREMIO FIN DE GRADO, TROMPETA Arthur Honegger ( 1890/1955) Intrada Iker López-Dávila Montero Profesor repertorista: Juan Daunesse Agud Profesor: José Miguel Sambartolomé Cortés PREMIO FIN DE GRADO, CLARINETE Claude Debussy (1862 - 1918) Première Rhapsodie, L. 116 Daniel Navares Ambite Profesor: José Miguel Lucas Torres Escribano Profesor repertorista: Rael Coirini PREMIO FIN DE GRADO, FLAUTA TRAVESERA Max Meyer-Olbersleben (1850-1927) Fantasie-Sonate OP. 17 III. Bacchanale Candela Cabero Castellano Pianista acompañante: Joan Cabero Castellano Profesor: Manuel Rodríguez Arribas PREMIO FIN DE GRADO, OBOE Eugène Bozza (1905-1991) Fantaisie Pastorale I. Lent II. Moderado III. Allegro ma non tropo Laura Martínez Sánchez Profesor repertorista: Miguel Ángel Herrero Aristeguieta. Profesor: Pablo Iglesias Jiménez PREMIO FIN DE GRADO, CANTO Federico Moreno Torroba (1891-1982) La petenera (La Marchenera. Zarzuela en 3 actos. 1928) Lydia Galasova Profesor repertorista: Antonio Moreno Titos Profesor: Miguel Bernal Menéndez PREMIO FIN DE GRADO, GANADORA DEL VIII CONCURSO DE SOLISTAS ARTURO SORIA Y PREMIO EXTRAORDINARIO DE LA COMUNIDAD DE MADRID 2024 Edward Elgar (1857-1934) Concierto Para Violoncello En Mi Menor Op. 85 I Adagio-Moderato II Lento-Allegro molto Marina Cañete Quevedo (violoncello) Joven Orquesta Sinfónica Arturo Soria. Carlos Albuisech Tejedor, director Profesora: Pilar Navarro Muñoz;10 €;https://www.auditorionacional.mcu.es/es/programacion/conservatorio-profesional-de-musica-arturo-soria-entrega-de-premios-2023-2024/@@images/73edfd48-e7fa-48af-8509-153bd4d25a7f.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
La Filarmónica. Sonata de los Adioses;Sala de Cámara;2024-11-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses;"
Guillermo Hernández, piano L. v. Beethoven Sonata para piano n.o 26 en mi bemol mayor, Op. 81a, “Les Adieux” S. Prokófiev de Piezas, Op. 12: núm. 6 “Légende”, núm. 2 “Gavotte” y núm. 10 “Scherzo” Sonata núm. 3, Op. 28 en la menor
F. Liszt de “Années de Pelèrinage II, Italia”: “Sposalizio” S. 161/1 R. Schumann, Carnaval Op. 9";32, 28, 24 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses/@@images/e378b0aa-a9b1-45c3-82fe-fcd4986364c4.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
NK Prodarte. Los Tres Tenores;Sala Sinfónica;2024-11-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-los-tres-tenores;"
Orquesta Filarmónica de España ""Los Tres Tenores""";57, 52, 42, 38, 36 y 32 €;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-los-tres-tenores/@@images/67f7cfdc-a578-4f31-b59e-daad257dcdc8.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 7;Sala Sinfónica;2024-11-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1;"Orquesta Nacional de España
David Afkham Director Anton Bruckner Sinfonía núm. 5 en Si bemol mayor";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1/@@images/3a319d0b-4cb4-4ed9-a459-b9dade46a612.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
ORCAM. Tiempo de Cámara II. Una Invitación a Viajar;Sala de Cámara;2024-11-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-una-invitacion-a-viajar;"

Coro de la Comunidad de Madrid
Henri Duparc * / L’invitation au voyage / Chanson triste / La vie antérieur
Mel Bonis / Pensées d’automne, op. 19
Gabriel Fauré * / Après un rêve / Chanson du pêcheur /
Les barceaux / Nell
Claude Debussy */ Romance / Beau soir
Mel Bonis / Barcarolle, op. 71
Sven-Davis Sandström / Four songs of love
Sergei Rachmaninov / Vocalise
Yves Castagnet / L’invitation au voyage
*Arr. Denis Rouger";15 y 12 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-una-invitacion-a-viajar/@@images/3f7fc334-f0bf-44f8-a8ab-367255e84976.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 7;Sala Sinfónica;2024-11-23;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1;"Orquesta Nacional de España
David Afkham Director Anton Bruckner Sinfonía núm. 5 en Si bemol mayor";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1/@@images/3a319d0b-4cb4-4ed9-a459-b9dade46a612.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
